[17:01:42] [INFO] Extracao iniciada!
[17:01:46] [INFO] Processando arquivo: 35230843455179000184550010002224091379112585.xml
[17:01:46] [INFO] Processando arquivo: 35230843455179000184550010002227881319285645.xml
[17:01:46] [INFO] Processando arquivo: 35230844909067000119550010001010761001294230.xml
[17:01:46] [INFO] Processando arquivo: 35230846906624000173550020001680701185020561.xml
[17:01:46] [INFO] Processando arquivo: 35230849934250001321550010006548181756572629.xml
[17:01:46] [INFO] Processando arquivo: 35230861048674000150550020003405901125407978.xml
[17:01:46] [INFO] Processando arquivo: 35230861048674000150550020003420411194930436.xml
[17:01:46] [INFO] Processando arquivo: 35230861048674000150550020003421531358643570.xml
[17:01:46] [INFO] Processando arquivo: 35230861048674000150550020003425571625772246.xml
[17:01:46] [INFO] Processando arquivo: 35230861048674000150550020003429291847102244.xml
[17:01:46] [INFO] Processando arquivo: 35230861252185000116550010002766391378070945.xml
[17:01:46] [INFO] Processando arquivo: 35230897837181002190550010041333761630333930.xml
[17:01:46] [INFO] Processando arquivo: 35230897837181002190550010041372411952482303.xml
[17:01:46] [INFO] Processando arquivo: 35230897837181002190550010041398921756102740.xml
[17:01:46] [INFO] Processando arquivo: 41230600246428000119550010001615441001621880.xml
[17:01:46] [INFO] Processando arquivo: 41230600246428000119550010001616971001623602.xml
[17:01:46] [INFO] Processando arquivo: 41230600246428000119550010001620451001627255.xml
[17:01:46] [INFO] Processando arquivo: 41230602264256000131550010004382831880088009.xml
[17:01:46] [INFO] Processando arquivo: 41230602764053000104550010001695821838525824.xml
[17:01:46] [INFO] Processando arquivo: 41230602821150000191550010001698581002626181.xml
[17:01:46] [INFO] Processando arquivo: 41230603210666000162550010000235061617457816.xml
[17:01:46] [INFO] Processando arquivo: 41230604151335000161550010000101771000102083.xml
[17:01:46] [INFO] Processando arquivo: 41230604151335000161550010000102061000102389.xml
[17:01:46] [INFO] Processando arquivo: 41230604151335000161550010000102481000102770.xml
[17:01:46] [INFO] Processando arquivo: 41230604660451000106550010000043291708400002.xml
[17:01:46] [INFO] Processando arquivo: 41230604660451000106550010000043301782800001.xml
[17:01:46] [INFO] Processando arquivo: 41230605773598000175550010000603051284833097.xml
[17:01:46] [INFO] Processando arquivo: 41230605773598000175550010000604441233469847.xml
[17:01:46] [INFO] Processando arquivo: 41230605773598000175550010000604601458531322.xml
[17:01:46] [INFO] Processando arquivo: 41230608645026000107550020000756831123772542.xml
[17:01:46] [INFO] Processando arquivo: 41230608645026000107550020000759261128300363.xml
[17:01:46] [INFO] Processando arquivo: 41230608889371000188550010000047051857873072.xml
[17:01:46] [INFO] Processando arquivo: 41230608889371000188550010000047271451125651.xml
[17:01:46] [INFO] Processando arquivo: 41230609465904000167550010000102491060292790.xml
[17:01:46] [INFO] Processando arquivo: 41230609511326000158550550000014041397124050.xml
[17:01:47] [INFO] Processando arquivo: 41230610914308000104550030000116561001005785.xml
[17:01:47] [INFO] Processando arquivo: 41230613038197000108550010000006781029454654.xml
[17:01:47] [INFO] Processando arquivo: 41230614170489000154550010000740551624945958.xml
[17:01:47] [INFO] Processando arquivo: 41230627785001000145550010000352181261223491.xml
[17:01:47] [INFO] Processando arquivo: 41230627839741000117550010000163651000163663.xml
[17:01:47] [INFO] Processando arquivo: 41230630925326000190550010000036561152202301.xml
[17:01:47] [INFO] Processando arquivo: 41230630925326000190550010000037341176202300.xml
[17:01:47] [INFO] Processando arquivo: 41230635573262000120550010000020161000810518.xml
[17:01:47] [INFO] Processando arquivo: 41230672229255000131550010000604041865969530.xml
[17:01:47] [INFO] Processando arquivo: 41230675118679000117550070002748371475242273.xml
[17:01:47] [INFO] Processando arquivo: 41230675118679000117550070002758731416367597.xml
[17:01:47] [INFO] Processando arquivo: 41230675118679000117550070002763741461940459.xml
[17:01:47] [INFO] Processando arquivo: 41230675118679000117550070002770201990757957.xml
[17:01:47] [INFO] Processando arquivo: 41230675118679000117550070002770401546764060.xml
[17:01:47] [INFO] Processando arquivo: 41230675118679000117550070002772961374178547.xml
[17:01:47] [INFO] Processando arquivo: 41230675118679000117550070002774131549141963.xml
[17:01:47] [INFO] Processando arquivo: 41230676216506000102550010000064951090694997.xml
[17:01:47] [INFO] Processando arquivo: 41230676639285000177550010018744821693452885.xml
[17:01:47] [INFO] Processando arquivo: 41230678370335000199550010001328161998671766.xml
[17:01:47] [INFO] Processando arquivo: 41230681067860000144550010002742461171448378.xml
[17:01:47] [INFO] Processando arquivo: 41230700557729000163550010000007971489043403.xml
[17:01:47] [INFO] Processando arquivo: 41230702264256000131550010004425041958737770.xml
[17:01:47] [INFO] Processando arquivo: 41230702264256000131550010004430791969451731.xml
[17:01:47] [INFO] Processando arquivo: 41230702496207000124550020002812311043958311.xml
[17:01:47] [INFO] Processando arquivo: 41230702764053000104550010001715541897871608.xml
[17:01:47] [INFO] Processando arquivo: 41230702764053000104550010001715821785826729.xml
[17:01:47] [INFO] Processando arquivo: 41230703846642000285550010001253031133471137.xml
[17:01:47] [INFO] Processando arquivo: 41230704583545000129550100000003751274896718.xml
[17:01:47] [INFO] Processando arquivo: 41230705773598000175550010000611851415661381.xml
[17:01:47] [INFO] Processando arquivo: 41230708645026000107550020000765641140188192.xml
[17:01:47] [INFO] Processando arquivo: 41230709401970000173550030000097481386216568.xml
[17:01:47] [INFO] Processando arquivo: 41230717001233000101550010000044801218472226.xml
[17:01:47] [INFO] Processando arquivo: 41230717593974000129550010000076141910258172.xml
[17:01:48] [INFO] Processando arquivo: 41230723273325000143550010000064551471132626.xml
[17:01:48] [INFO] Processando arquivo: 41230724796055000118550020000004621933692373.xml
[17:01:48] [INFO] Processando arquivo: 41230730033829000151550010000046291982111850.xml
[17:01:48] [INFO] Processando arquivo: 41230730033829000151550010000048021177922031.xml
[17:01:48] [INFO] Processando arquivo: 41230735573262000120550010000021171000817594.xml
[17:01:48] [INFO] Processando arquivo: 41230741287508000108550010000024281840337167.xml
[17:01:48] [INFO] Processando arquivo: 41230742596512000102550030000001111036502379.xml
[17:01:48] [INFO] Processando arquivo: 41230743058248000116550010000000881000000894.xml
[17:01:48] [INFO] Processando arquivo: 41230772229255000131550010000612411046589324.xml
[17:01:48] [INFO] Processando arquivo: 41230775118679000117550080000012401094775843.xml
[17:01:48] [INFO] Processando arquivo: 41230775118679000117550080000018021385490960.xml
[17:01:48] [INFO] Processando arquivo: 41230776216506000102550010000065901090694990.xml
[17:01:48] [INFO] Processando arquivo: 41230776639285000177550010019010921971352109.xml
[17:01:48] [INFO] Processando arquivo: 41230776639285000177550010019139201109663048.xml
[17:01:48] [INFO] Processando arquivo: 41230776639285000177550010019139261989409273.xml
[17:01:48] [INFO] Processando arquivo: 41230776739846000100550010001344671007095129.xml
[17:01:48] [INFO] Processando arquivo: 41230778234853000185550010000121641018883350.xml
[17:01:48] [INFO] Processando arquivo: 41230778234853000185550010000122291897082607.xml
[17:01:48] [INFO] Processando arquivo: 41230778748159000186550010000193771000480435.xml
[17:01:48] [INFO] Processando arquivo: 41230778748159000186550010000193781000480467.xml
[17:01:48] [INFO] Processando arquivo: 41230780550452000186550020005828461948367036.xml
[17:01:48] [INFO] Processando arquivo: 41230781067860000144550010002746421154854181.xml
[17:01:48] [INFO] Processando arquivo: 41230789263669000260550000000034751583701570.xml
[17:01:48] [INFO] Processando arquivo: 41230804583545000129550100000003871443689972.xml
[17:01:48] [INFO] Processando arquivo: 41230804583545000129550100000003911041624917.xml
[17:01:48] [INFO] Processando arquivo: 41230804660451000106550010000043691720200002.xml
[17:01:48] [INFO] Processando arquivo: 41230804660451000106550010000043701287400005.xml
[17:01:48] [INFO] Processando arquivo: 41230805262022000143550010000353071000819777.xml
[17:01:48] [INFO] Processando arquivo: 41230806375850000150550010000054481294163288.xml
[17:01:48] [INFO] Processando arquivo: 41230808645026000107550020000779561166125293.xml
[17:01:48] [INFO] Processando arquivo: 41230808645026000107550020000781911170504040.xml
[17:01:48] [INFO] Processando arquivo: 41230808645026000107550020000784731175758536.xml
[17:01:48] [INFO] Processando arquivo: 41230808645026000107550020000786691179410605.xml
[17:01:48] [INFO] Processando arquivo: 41230810809809000112550010000089571000111205.xml
[17:01:48] [INFO] Processando arquivo: 41230811027330000197550010000049611218946033.xml
[17:01:48] [INFO] Processando arquivo: 41230823273325000143550010000064971349779940.xml
[17:01:48] [INFO] Processando arquivo: 41230827997391000117550010000225101067689220.xml
[17:01:49] [INFO] Processando arquivo: 41230830033829000151550010000050221339539669.xml
[17:01:49] [INFO] Processando arquivo: 41230834022812000150550010000001131277794695.xml
[17:01:49] [INFO] Processando arquivo: 41230834022812000150550010000001141246209453.xml
[17:01:49] [INFO] Processando arquivo: 41230835573262000120550010000021851000821994.xml
[17:01:49] [INFO] Processando arquivo: 41230835573262000120550010000022011000823429.xml
[17:01:49] [INFO] Processando arquivo: 41230838070177000137550010000008241515113306.xml
[17:01:49] [INFO] Processando arquivo: 41230875118679000117550080000032301855549413.xml
[17:01:49] [INFO] Processando arquivo: 41230876520758000112550010000294471085905528.xml
[17:01:49] [INFO] Processando arquivo: 41230877968980000145550010011663381001002636.xml
[17:01:49] [INFO] Processando arquivo: 41230878234853000185550010000122981881137513.xml
[17:01:49] [INFO] Processando arquivo: 41230880550452000186550020005873251896222864.xml
[17:01:49] [INFO] Processando arquivo: 41230885088326000175550020001033301000777554.xml
[17:01:49] [INFO] Processando arquivo: 41230889263669000260550000000034901932689120.xml
[17:01:49] [INFO] Processando arquivo: 41230889263669000260550000000035071826534479.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011007721971564934.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011014151834733078.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011014161589176270.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011014171315346698.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011028331191979465.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011028421313141869.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011028471319577630.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011035171312051888.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011049291190110556.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011053221468474199.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011062381708764888.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011072701327655155.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011080841600133187.xml
[17:01:49] [INFO] Processando arquivo: 42230600145602000137550030011090301122421678.xml
[17:01:50] [INFO] Processando arquivo: 42230600793959000393550010000137101000032344.xml
[17:01:50] [INFO] Processando arquivo: 42230602703877000255550010000052491005249315.xml
[17:01:50] [INFO] Processando arquivo: 42230602703877000255550010000053591005359287.xml
[17:01:50] [INFO] Processando arquivo: 42230607432397000130550020001176931139806682.xml
[17:01:50] [INFO] Processando arquivo: 42230607432397000130550020001180041106060241.xml
[17:01:50] [INFO] Processando arquivo: 42230609520471000103550110000505161833381414.xml
[17:01:50] [INFO] Processando arquivo: 42230609520471000103550110000508021940370450.xml
[17:01:50] [INFO] Processando arquivo: 42230609520471000103550110000508121480732538.xml
[17:01:50] [INFO] Processando arquivo: 42230609520471000103550110000508301779866171.xml
[17:01:50] [INFO] Processando arquivo: 42230609520471000103550110000510171467633030.xml
[17:01:50] [INFO] Processando arquivo: 42230642006441000140550010000315771135078472.xml
[17:01:50] [INFO] Processando arquivo: 42230642006441000140550010000318351106894638.xml
[17:01:50] [INFO] Processando arquivo: 42230658514928002037550010020332341816555440.xml
[17:01:50] [INFO] Processando arquivo: 42230679925442000280550010000315511256855294.xml
[17:01:50] [INFO] Processando arquivo: 42230679925442000280550010000316831096960418.xml
[17:01:50] [INFO] Processando arquivo: 42230679925442000280550010000317181691830980.xml
[17:01:50] [INFO] Processando arquivo: 42230679925442000280550010000317791142829814.xml
[17:01:50] [INFO] Processando arquivo: 42230679925442000280550010000319741741739140.xml
[17:01:50] [INFO] Processando arquivo: 42230679925442000280550010000321951985753267.xml
[17:01:50] [INFO] Processando arquivo: 42230679925442000280550010000322521330596000.xml
[17:01:50] [INFO] Processando arquivo: 42230679925442000280550010000323241704970322.xml
[17:01:51] [INFO] Processando arquivo: 42230679925442000280550010000323961563674535.xml
[17:01:51] [INFO] Processando arquivo: 42230679925442000280550010000325641458568230.xml
[17:01:51] [INFO] Processando arquivo: 42230679925442000280550010000326091163805510.xml
[17:01:51] [INFO] Processando arquivo: 42230681311276000192550020001129451938889883.xml
[17:01:51] [INFO] Processando arquivo: 42230681311276000192550020001130341895551063.xml
[17:01:51] [INFO] Processando arquivo: 42230682662263000120550030002384481134647778.xml
[17:01:51] [INFO] Processando arquivo: 42230682901000001441550010021334631533067435.xml
[17:01:51] [INFO] Processando arquivo: 42230700145602000137550030011094401741590997.xml
[17:01:51] [INFO] Processando arquivo: 42230700145602000137550030011094481989819945.xml
[17:01:51] [INFO] Processando arquivo: 42230700145602000137550030011100991131397881.xml
[17:01:51] [INFO] Processando arquivo: 42230700145602000137550030011158851329962008.xml
[17:01:51] [INFO] Processando arquivo: 42230700145602000137550030011158861910318772.xml
[17:01:51] [INFO] Processando arquivo: 42230700145602000137550030011164761709311207.xml
[17:01:51] [INFO] Processando arquivo: 42230702703877000255550010000055251005525272.xml
[17:01:51] [INFO] Processando arquivo: 42230702703877000255550010000055731005573312.xml
[17:01:51] [INFO] Processando arquivo: 42230702703877000255550010000056321005632214.xml
[17:01:51] [INFO] Processando arquivo: 42230709520471000103550110000517341717315106.xml
[17:01:51] [INFO] Processando arquivo: 42230710921911000709550020005056691347107718.xml
[17:01:51] [INFO] Processando arquivo: 42230779925442000280550010000329471343229038.xml
[17:01:51] [INFO] Processando arquivo: 42230779925442000280550010000331301760069125.xml
[17:01:51] [INFO] Processando arquivo: 42230779925442000280550010000331971930623585.xml
[17:01:51] [INFO] Processando arquivo: 42230779925442000280550010000335361672198395.xml
[17:01:51] [INFO] Processando arquivo: 42230779925442000280550010000339031857828663.xml
[17:01:51] [INFO] Processando arquivo: 42230781315426000136550010009304711322711273.xml
[17:01:51] [INFO] Processando arquivo: 42230783748772000133550010007130331587425104.xml
[17:01:51] [INFO] Processando arquivo: 42230800145602000137550030011192071817572015.xml
[17:01:51] [INFO] Processando arquivo: 42230800145602000137550030011192081604924914.xml
[17:01:51] [INFO] Processando arquivo: 42230800145602000137550030011192171295343326.xml
[17:01:51] [INFO] Processando arquivo: 42230800145602000137550030011204681653568117.xml
[17:01:52] [INFO] Processando arquivo: 42230800145602000137550030011204791722040876.xml
[17:01:52] [INFO] Processando arquivo: 42230800145602000137550030011214911211369642.xml
[17:01:52] [INFO] Processando arquivo: 42230800145602000137550030011219431408574781.xml
[17:01:52] [INFO] Processando arquivo: 42230800145602000137550030011252841133220790.xml
[17:01:52] [INFO] Processando arquivo: 42230800145602000137550030011274671434852388.xml
[17:01:52] [INFO] Processando arquivo: 42230802703877000255550010000056991005699281.xml
[17:01:52] [INFO] Processando arquivo: 42230807432397000130550020001217791148984970.xml
[17:01:52] [INFO] Processando arquivo: 42230809520471000103550110000519861499989195.xml
[17:01:52] [INFO] Processando arquivo: 42230809520471000103550110000523001714402790.xml
[17:01:52] [INFO] Processando arquivo: 42230809520471000103550110000525641863880170.xml
[17:01:52] [INFO] Processando arquivo: 42230809520471000103550110000526371185922377.xml
[17:01:52] [INFO] Processando arquivo: 42230842006441000140550010000350231150190200.xml
[17:01:52] [INFO] Processando arquivo: 42230842006441000140550010000350241150282918.xml
[17:01:52] [INFO] Processando arquivo: 42230879925442000280550010000342491394116850.xml
[17:01:52] [INFO] Processando arquivo: 42230879925442000280550010000344671111108256.xml
[17:01:52] [INFO] Processando arquivo: 42230879925442000280550010000345301877422518.xml
[17:01:52] [INFO] Processando arquivo: 42230879925442000280550010000346081278380740.xml
[17:01:52] [INFO] Processando arquivo: 42230879925442000280550010000346821056303860.xml
[17:01:52] [INFO] Processando arquivo: 42230879925442000280550010000350091004350095.xml
[17:01:52] [INFO] Processando arquivo: 42230879925442000280550010000350681053958787.xml
[17:01:52] [INFO] Processando arquivo: 42230879925442000280550010000351341645319620.xml
[17:01:52] [INFO] Processando arquivo: 42230879925442000280550010000351791212112312.xml
[17:01:52] [INFO] Processando arquivo: 42230879925442000280550010000352871452050084.xml
[17:01:52] [INFO] Processando arquivo: 42230879925442000280550010000353311795533597.xml
[17:01:52] [INFO] Processando arquivo: 42230879925442000280550010000354121669903607.xml
[17:01:52] [INFO] Processando arquivo: 43230602276695000164550010001867431555044508.xml
[17:01:52] [INFO] Processando arquivo: 43230602276695000164550010001867851896042505.xml
[17:01:52] [INFO] Processando arquivo: 43230602276695000164550010001868091418377304.xml
[17:01:52] [INFO] Processando arquivo: 43230602276695000164550010001869671016811831.xml
[17:01:53] [INFO] Processando arquivo: 43230602703877000174550100000620111062011474.xml
[17:01:53] [INFO] Processando arquivo: 43230602703877000174550100000620581062058469.xml
[17:01:53] [INFO] Processando arquivo: 43230689463822001003550000000981501027407166.xml
[17:01:53] [INFO] Processando arquivo: 43230693553881000159550550000391811053504534.xml
[17:01:53] [INFO] Processando arquivo: 43230694354271000199550010002446661203560056.xml
[17:01:53] [INFO] Processando arquivo: 43230694354271000199550010002448571425852888.xml
[17:01:53] [INFO] Processando arquivo: 43230694354271000199550010002450701618576877.xml
[17:01:53] [INFO] Processando arquivo: 43230694354271000199550010002451771824624640.xml
[17:01:53] [INFO] Processando arquivo: 43230694354271000199550010002453781966532485.xml
[17:01:53] [INFO] Processando arquivo: 43230694354271000199550010002456991690324057.xml
[17:01:53] [INFO] Processando arquivo: 43230694354271000199550010002460751937949728.xml
[17:01:53] [INFO] Processando arquivo: 43230702276695000164550010001872051659833959.xml
[17:01:53] [INFO] Processando arquivo: 43230702276695000164550010001872361015696005.xml
[17:01:53] [INFO] Processando arquivo: 43230702276695000164550010001872571205330346.xml
[17:01:53] [INFO] Processando arquivo: 43230702276695000164550010001878641124713757.xml
[17:01:53] [INFO] Processando arquivo: 43230702276695000164550010001880691417407932.xml
[17:01:53] [INFO] Processando arquivo: 43230702703877000174550100000624411062441570.xml
[17:01:53] [INFO] Processando arquivo: 43230773694119000185550000001156111276614449.xml
[17:01:53] [INFO] Processando arquivo: 43230773694119000185550000001156891725139230.xml
[17:01:53] [INFO] Processando arquivo: 43230773694119000185550000001158221415072741.xml
[17:01:53] [INFO] Processando arquivo: 43230773694119000185550000001160681371612614.xml
[17:01:53] [INFO] Processando arquivo: 43230773694119000185550000001162431909373221.xml
[17:01:53] [INFO] Processando arquivo: 43230789463822001003550000000991311860004080.xml
[17:01:53] [INFO] Processando arquivo: 43230789463822001003550000000992581615090530.xml
[17:01:53] [INFO] Processando arquivo: 43230789463822001003550000000993261019388798.xml
[17:01:53] [INFO] Processando arquivo: 43230791967067000155550000004542881864698998.xml
[17:01:53] [INFO] Processando arquivo: 43230791967067000155550000004550541034487221.xml
[17:01:53] [INFO] Processando arquivo: 43230794354271000199550010002474221139715874.xml
[17:01:53] [INFO] Processando arquivo: 43230794354271000199550010002486431168179182.xml
[17:01:53] [INFO] Processando arquivo: 43230802276695000164550010001888511792704351.xml
[17:01:54] [INFO] Processando arquivo: 43230802703877000174550100000625271062527360.xml
[17:01:54] [INFO] Processando arquivo: 43230802703877000174550100000625661062566240.xml
[17:01:54] [INFO] Processando arquivo: 43230802703877000174550100000626301062630447.xml
[17:01:54] [INFO] Processando arquivo: 43230802703877000174550100000627131062713029.xml
[17:01:54] [INFO] Processando arquivo: 43230802703877000174550100000627271062727467.xml
[17:01:54] [INFO] Processando arquivo: 43230802703877000174550100000627621062762407.xml
[17:01:54] [INFO] Processando arquivo: 43230889463822001003550000000995571392813750.xml
[17:01:54] [INFO] Processando arquivo: 43230889463822001003550000000996541969533326.xml
[17:01:54] [INFO] Processando arquivo: 43230889463822001003550000000996981231138081.xml
[17:01:54] [INFO] Processando arquivo: 43230889463822001003550000000997471522470658.xml
[17:01:54] [INFO] Processando arquivo: 43230889463822001003550000000997941801912096.xml
[17:01:54] [INFO] Processando arquivo: 43230889463822001003550000000998671235938168.xml
[17:01:54] [INFO] Processando arquivo: 43230891967067000155550000004570881567535705.xml
[17:01:54] [INFO] Processando arquivo: 43230894354271000199550010002501841748715922.xml
[17:01:54] [INFO] Processamento e transferencia de arquivos XML concluidos, Lidos 335 arquivos e inseridas 1193 linhas no arquivo CSV
